,kanana_ce,kanana_ntl,kanana_ntl_sal,kanana_sal,kanana_wntl,kanana_wntl_sal
overall,0.7,0.733,0.735,0.683,0.741,0.725
task_1,0.6,0.655,0.636,0.567,0.658,0.641
content_1,0.503,0.58,0.546,0.469,0.592,0.547
content_2,0.476,0.545,0.53,0.449,0.56,0.532
content_3,0.959,0.962,0.96,0.955,0.96,0.96
organization_1,0.287,0.349,0.356,0.271,0.409,0.365
organization_2,0.565,0.602,0.594,0.543,0.623,0.601
expression_1,0.299,0.347,0.37,0.292,0.409,0.386
expression_2,0.79,0.81,0.832,0.732,0.838,0.818
average,0.576,0.62,0.618,0.551,0.643,0.619
